"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_ZenSkills_Desc_Hunting","Your honed instinct for hunting animals gives you the extra edge in the wilderness.","Your honed instinct for hunting animals gives you the extra edge in the wilderness.","Tvůj vytříbený instinkt pro lov ti dává v divočině výhodu.","Dein geschärfter Instinkt für die Jagd auf Tiere verschafft dir einen Vorteil in der Wildnis.","Твой отточенный инстинкт охоты на животных даёт тебе преимущество в дикой природе.","Twój wyostrzony instynkt łowiecki daje ci przewagę na łonie natury.","A vadászösztönöd előnyt ad a vadonban.","Il tuo istinto affinato per la caccia ti dà un vantaggio nella natura selvaggia.","Tu instinto perfeccionado para cazar animales te da una ventaja en la naturaleza salvaje.","Ton instinct affûté pour la chasse t’offre un avantage dans la nature.","你磨练出的狩猎本能让你在荒野中更有优势。","研ぎ澄まされた狩猟本能が自然界で優位に立たせる。","Seu instinto de caça aguçado lhe dá uma vantagem na natureza selvagem.","你磨练出的狩猎本能让你在荒野中更有优势。",
"STR_ZenSkills_Perk_Hunting_Name1","Hunter","Hunter","Lovec","Jäger","Охотник","Myśliwy","Vadász","Cacciatore","Cazador","Chasseur","猎人","ハンター","Caçador","猎人",
"STR_ZenSkills_Perk_Hunting_Name2","The Fisherman","The Fisherman","Rybář","Der Fischer","Рыбак","Rybak","Halász","Il pescatore","El pescador","Le pêcheur","渔夫","漁師","O Pescador","渔夫",
"STR_ZenSkills_Perk_Hunting_Name3","Master Baiter","Master Baiter","Mistr návnad","Meisterköderer","Мастер наживки","Mistr przynęty","Csali mester","Maestro dell’esca","Maestro de cebos","Maître des appâts","钓饵大师","エサの達人","Mestre da isca","钓饵大师",
"STR_ZenSkills_Perk_Hunting_Name4","Great Rod","Great Rod","Velký prut","Große Rute","Отличная удочка","Świetna wędka","Nagy bot","Grande canna","Gran caña","Grande canne","好钓竿","立派な釣竿","Grande vara","好钓竿",
"STR_ZenSkills_Perk_Hunting_Name5","The Butcher","The Butcher","Řezník","Der Metzger","Мясник","Rzeźnik","Mészáros","Il macellaio","El carnicero","Le boucher","屠夫","肉屋","O Açougueiro","屠夫",
"STR_ZenSkills_Perk_Hunting_Name6","The Tanner","The Tanner","Koželuh","Der Gerber","Кожевник","Garbarz","Tímár","Il conciatore","El curtidor","Le tanneur","制革工","なめし職人","O Curtidor","制革工",
"STR_ZenSkills_Perk_Hunting_Name7","The Trapper","The Trapper","Pastiř","Der Fallensteller","Ловец","Łowca pułapek","Csapdázó","Il cacciatore di trappole","El trampero","Le trappeur","捕兽者","罠猟師","O Armadilheiro","捕兽者",
"STR_ZenSkills_Perk_Hunting_Name8","Thin Skin","Thin Skin","Citlivka","Dünnhäutig","Тонкокожий","Cienkoskóry","Vékony bőrű","Pelle sottile","Piel fina","Peau fine","薄皮","薄皮","Pele fina","薄皮",
"STR_ZenSkills_Perk_Hunting_Name9","Hungry Wolf","Hungry Wolf","Hladový vlk","Hungriger Wolf","Голодный волк","Głodny wilk","Éhes farkas","Lupo affamato","Lobo hambriento","Loup affamé","饥饿的狼","腹ぺこの狼","Lobo faminto","饥饿的狼",
"STR_ZenSkills_Perk_Hunting_Name10","Animal Tracker","Animal Tracker","Stopař zvěře","Tierspurensucher","Следопыт","Tropiciel zwierząt","Állatkövető","Tracciatore di animali","Rastreador de animales","Traqueur d’animaux","动物追踪者","動物追跡者","Rastreador de animais","动物追踪者",
"STR_ZenSkills_Perk_Hunting_Desc1","You gain %1 more experience from hunting activities","You gain %1 more experience from hunting activities","Získáš o %1 více zkušeností z lovu","Du erhältst %1 mehr Erfahrung durch Jagdaktivitäten","Вы получаете на %1 больше опыта от охоты","Zyskujesz o %1 więcej doświadczenia z działań łowieckich","%1 több tapasztalatot szerzel vadászati tevékenységekből","Ottieni %1 esperienza in più dalle attività di caccia","Obtienes %1 más experiencia en actividades de caza","Vous gagnez %1 d’expérience supplémentaire grâce à la chasse","你从狩猎活动中获得%1更多经验。","狩猟活動から%1多くの経験を得る。","Você ganha %1 mais experiência em atividades de caça","你从狩猎活动中获得%1更多经验。",
"STR_ZenSkills_Perk_Hunting_Desc2","You have a %1 better chance at catching something while fishing","You have a %1 better chance at catching something while fishing","Máš o %1 vyšší šanci něco chytit při rybaření","Du hast eine um %1 bessere Chance, beim Angeln etwas zu fangen","У тебя на %1 больше шансов поймать что-то при рыбалке","Masz o %1 większą szansę na złapanie czegoś podczas łowienia ryb","%1 nagyobb esélyed van, hogy fogj valamit horgászat közben","Hai una %1 migliore possibilità di catturare qualcosa pescando","Tienes un %1 mejor probabilidad de atrapar algo al pescar","Vous avez %1 de meilleures chances d’attraper quelque chose en pêchant","钓鱼时捕到东西的几率提高%1。","釣りで何かを捕まえる確率が%1上がる。","Você tem %1 mais chance de pegar algo ao pescar","钓鱼时捕到东西的几率提高%1。",
